砂仁,香砂六君子汤,治食积不消、呕恶便泄、痰饮结聚、胎动不安、消化不良
佩兰,藿佩汤,治暑热感冒、胃呆不饥、霉湿秽浊
白豆蔻,三仁汤,治呃逆呕吐、食积、湿温、目生翳障、酒醉不醒
草果,清脾饮,治疟疾、瘟疫、腹胀疼痛、肠胃不和、食少浮肿
草豆蔻,厚朴温中汤,治脾胃虚弱、胃痛、气逆作呕、疟疾、小儿泄泻
茯苓,桂苓甘露散,治水肿胀满、大便溏泻、痰饮眩悸、惊悸失眠、心肾不交、呕吐、霍乱、中暑
泽泻,地黄汤,治湿热黄疸、水肿、热淋、阴汗、口渴、妊娠浮肿、寒湿脚气、腰痛
滑石,六一散,治小便不利、血淋、水泻、湿疹、湿疮、热毒怪病、少腹、阴茎痛、雀斑
木通,导赤散,治湿热脚气、水肿、小便不利、瘀血经闭、乳汁不下、尿血、喉痹、妇女赤白带、筋骨痛
茵陈,茵陈蒿汤,治湿热黄疸、湿疮、传染性肝炎、胆结石、高脂血症、高胆红素血症、新生儿溶血症
金钱草,胆道排石汤,治热淋、石淋、黄疸臌胀、肾炎水肿、湿疹、胆囊炎、胆结石、膀胱结石、肾结石、稻田皮炎、疮疡肿毒
防己,防己黄芪汤,治皮肤水肿、风水浮肿、痰饮、小便不利、遗尿、脚气、热痹关节肿痛、湿疹湿疮、尘肺病、肾炎
通草,当归四逆汤,治乳脉不通、黄肿、肾肿、小便不利、脉管炎、心肌炎、女子输卵管不通、风湿关节炎、胃、十二指肠溃疡
萆薢,萆薢分清饮,治小便频数、女子白带、风湿痹痛、腰痛、脚气、下焦湿疮
赤小豆,赤小豆汤,治水肿胀满、肠痈、黄疸、大便下血、肾炎
地肤子,浮萍麻黄汤,治皮肤湿疮、脓疱疮、淋症、小便不利、过敏性紫癜
陆英,王不留行散,治水肿、小便不利、风湿痹痛、跌打损伤
蛤粉,痄腮方,治水肿、小便不通、遗精、吹乳、胃气痛、腮腺炎
铁蜈蚣,加味菊花饮,治肺炎、肝炎、胃肠炎、乙型脑炎、小儿脱肛
三白草,三白固精汤,治水肿、脚气、泌尿系结石、小便淋痛、妇女带下、遗精、疔疮脓肿
灯心草,木香灯草丸,治膀胱炎、尿道炎、肾炎水肿、湿热黄疸、热淋涩痛、心烦不眠、小儿烦热
过路黄,仙陈退黄汤,治石淋、胆结石、肠道寄生虫，脚、手掌生疮，疝气、疔疮肿毒、缠腰火丹、黄疸
连钱草,羌麻平喘汤,治砂淋、石淋、肾炎、疳积、跌打骨折、胆囊炎、胆结石
腹水草,腹水退黄汤,治肝炎、便秘、子宫癌、子宫脱垂
鼠妇,鳖甲煎丸,治小便不利、白喉、咽喉炎、妇女闭经、风火牙痛
冬葵子,葵苓排石汤,治小便不利、肠燥便秘、石淋、感冒、尿路感染、输卵管结石
瞿麦,回乳方,治血淋、砂淋、小便淋漓、膀胱结石、尿路感染、血瘀经闭、血妄行、回乳
石韦,灵宿丹,治血淋、小便淋漓、尿路结石、崩中漏下、肺热喘咳、慢性支气管炎、下元虚损
海金砂,海金砂散,治热淋、石淋膏淋、小便不通、胆囊炎、胆结石、肝炎肾炎、尿酸结石、钩虫病、头痛、上吐下泻
葫芦,竹芦利水饮,治大腹水肿、胎动不安、羊水过多症、痢疾、脚气、肾炎、心脏病
椒目,己椒苈黄丸,治水肿、小便不利、肝硬化腹水、耳鸣暴聋、眼生黑花、慢性气管炎
榆白皮,烧伤2号,治小便出血、坠胎下血、妊娠小便不利、瘰疠、烧烫伤
玉米须,补肾壮腰汤,治肾炎水肿、高血压、肝炎、小便频数、肾虚腰痛
乌桕根皮,治胆结石、水气、臌胀、蜂窝组织炎、毒蛇咬伤,附乌臼油、乌臼寄生
车前子,泽泻散,治遗精、精液异常、遗尿、尿频、心力衰竭、产后尿潴留、小儿痘疮
萱草,忘忧汤,治大肠下血、乳痈、乳汁不下、腰痛、鼻衄
姜皮,术皮饮,治急性肾炎、皮肤水肿、心腹臌胀、偏头风
石花,五味补肾汤,治吐血、崩漏、腰膝冷痛、白浊、肾虚牙痛
玄明粉,冰硼散,治大小便不通、结胸心痛、消化不良、咽喉肿痛
天胡荽,翳草明目散,治肝炎、痢疾、红淋、风火眼痛、翳障
薛荔,薜荔通淋汤,治淋病、尿血、便血、疝气、子宫脱垂、咳嗽痰多、先兆性流产
